🔥 STARTING 500s STRESS TEST
   Target: http://localhost:8000
   Duration: 500s
------------------------------------------------------------
TIME       | STATUS   | LATENCY  | CPU%   | MEM%   | BTC PRICE    | SIGNAL
 299s       | OK       |   11.9ms |  44.0% |  78.9% | --           | RUNNING
 300s       | OK       |    2.2ms |  32.5% |  78.3% | --           | RUNNING
 301s       | OK       |    5.5ms |  29.6% |  78.5% | --           | RUNNING
 302s       | OK       |    7.0ms |  18.4% |  78.0% | --           | RUNNING
 303s       | OK       |    3.9ms |  30.9% |  77.4% | --           | RUNNING
 304s       | OK       |    8.5ms |  30.3% |  77.5% | --           | RUNNING
 305s       | OK       |    6.3ms |  32.2% |  77.7% | --           | RUNNING
 306s       | OK       |    2.6ms |  40.2% |  78.7% | --           | RUNNING
 307s       | OK       |    2.5ms |  46.3% |  79.1% | --           | RUNNING
 308s       | OK       |    6.5ms |  26.6% |  77.8% | --           | RUNNING
 309s       | OK       |   12.6ms |  38.4% |  77.7% | --           | RUNNING
 310s       | OK       |    9.8ms |  30.3% |  77.6% | --           | RUNNING
 311s       | OK       |    6.7ms |  26.4% |  77.5% | --           | RUNNING
 312s       | OK       |    8.7ms |  28.2% |  77.6% | --           | RUNNING
 313s       | OK       |    8.4ms |  25.5% |  77.5% | --           | RUNNING
 314s       | OK       |    7.3ms |  25.7% |  77.2% | --           | RUNNING
 315s       | OK       |    6.9ms |  23.6% |  77.2% | --           | RUNNING
 316s       | OK       |    7.1ms |  25.6% |  77.1% | --           | RUNNING
 317s       | OK       |    6.0ms |  36.1% |  77.2% | --           | RUNNING
 318s       | OK       |    6.5ms |  45.2% |  77.3% | --           | RUNNING
 319s       | OK       |   21.1ms |  76.8% |  77.6% | --           | RUNNING
 320s       | OK       |    6.4ms |  77.4% |  76.4% | --           | RUNNING
 321s       | OK       |   15.1ms |  72.8% |  75.7% | --           | RUNNING
 322s       | OK       |    2.9ms |  42.9% |  75.7% | --           | RUNNING
 323s       | OK       |    2.3ms |  57.0% |  77.6% | --           | RUNNING
 324s       | OK       |   15.3ms |  50.0% |  78.4% | --           | RUNNING
 325s       | OK       |    8.3ms |  47.7% |  78.1% | --           | RUNNING
 326s       | OK       |    7.0ms |  39.1% |  77.6% | --           | RUNNING
 327s       | OK       |    7.1ms |  39.5% |  77.5% | --           | RUNNING
 328s       | OK       |    8.7ms |  49.7% |  76.9% | --           | RUNNING
 329s       | OK       |    8.5ms |  42.5% |  76.8% | --           | RUNNING
 330s       | OK       |   14.2ms |  39.3% |  76.9% | --           | RUNNING
 331s       | OK       |    6.5ms |  32.0% |  76.4% | --           | RUNNING
 332s       | OK       |    3.8ms |  44.6% |  76.5% | --           | RUNNING
 333s       | OK       |    2.3ms |  71.5% |  75.4% | --           | RUNNING
 334s       | OK       |   35.6ms |  37.2% |  78.4% | --           | RUNNING
 335s       | OK       |    9.0ms |  37.8% |  78.5% | --           | RUNNING
 336s       | OK       |    7.3ms |  28.2% |  77.7% | --           | RUNNING
 337s       | OK       |    6.3ms |  27.9% |  77.6% | --           | RUNNING
 338s       | OK       |    4.6ms |  29.2% |  77.7% | --           | RUNNING
 339s       | OK       |    8.8ms |  42.6% |  77.8% | --           | RUNNING
 340s       | OK       |    3.5ms |  51.8% |  78.3% | --           | RUNNING
 341s       | OK       |    6.9ms |  66.3% |  79.7% | --           | RUNNING
 342s       | OK       |    6.0ms |  48.8% |  80.1% | --           | RUNNING
 343s       | OK       |   12.0ms |  77.5% |  78.6% | --           | RUNNING
 344s       | OK       |    7.5ms |  60.8% |  77.5% | --           | RUNNING
 345s       | OK       |    7.6ms |  38.3% |  77.0% | --           | RUNNING
 346s       | OK       |   28.5ms |  51.9% |  87.4% | --           | RUNNING
 347s       | OK       |    4.3ms |  50.8% |  87.6% | --           | RUNNING
 348s       | OK       |    9.9ms |  49.4% |  87.4% | --           | RUNNING
 349s       | OK       |    3.7ms |  52.0% |  87.4% | --           | RUNNING
 350s       | OK       |    4.1ms |  51.1% |  87.4% | --           | RUNNING
 351s       | OK       |    4.7ms |  49.6% |  87.4% | --           | RUNNING
 352s       | OK       |   11.1ms |  50.9% |  87.5% | --           | RUNNING
 353s       | OK       |    5.3ms |  48.6% |  88.7% | --           | RUNNING
 354s       | OK       |    4.6ms |  52.3% |  88.6% | --           | RUNNING
 355s       | OK       |    4.9ms |  40.8% |  88.5% | --           | RUNNING
 356s       | OK       |    4.4ms |  38.8% |  88.4% | --           | RUNNING
 357s       | OK       |   11.9ms |  36.9% |  80.5% | --           | RUNNING
 358s       | OK       |    7.4ms |  27.0% |  81.5% | --           | RUNNING
 359s       | OK       |    7.9ms |  29.1% |  77.7% | --           | RUNNING
 360s       | OK       |    9.9ms |  24.6% |  77.9% | --           | RUNNING
 361s       | OK       |    7.1ms |  25.6% |  78.4% | --           | RUNNING
 362s       | OK       |    6.2ms |  29.5% |  78.1% | --           | RUNNING
 363s       | OK       |    7.9ms |  26.8% |  78.0% | --           | RUNNING
 364s       | OK       |    7.8ms |  24.8% |  78.0% | --           | RUNNING
